#link,coreId1,coreId2,cluster1,cluster2,linkType,eucDist,lcDist,eucAdj,cwdAdj,lcpLength,cwdToEucRatio,cwdToPathRatio
865,380,381,-1,-1,1,100,141.4213562,1,1,141,1.414213562,1.002988342
866,380,387,-1,-1,1,256,700,1,1,400,2.734375,1.75
867,380,388,-1,-1,-15,379,841.4213867,1,0,541,2.2201092,1.555307554
868,381,384,-1,-1,1,100,141.4213562,1,1,141,1.414213562,1.002988342
869,381,387,-1,-1,-15,378,841.4213867,1,1,541,2.225982505,1.555307554
870,381,388,-1,-1,-15,493,982.8427124,1,1,682,1.993595766,1.441118347
871,381,396,-1,-1,-15,672,10660.40723,1,1,1165,15.86370123,9.150564143
872,381,403,-1,-1,1,4480,45702.64844,1,1,6642,10.20148403,6.880856434
873,381,407,-1,-1,-15,2489,22302.54297,1,1,3462,8.960443137,6.442097911
874,382,386,-1,-1,-15,939,3262.741699,1,1,2114,3.474698295,1.543397209
875,382,390,-1,-1,-15,872,2355.63501,1,0,1589,2.701416296,1.48246382
876,382,400,-1,-1,1,577,1507.106812,1,1,824,2.611970211,1.829013121
877,384,387,-1,-1,-15,1838,3189.949463,1,0,2889,1.735554659,1.104170808
878,384,396,-1,-1,1,519,10177.56445,1,1,682,19.60995078,14.92311503
879,384,407,-1,-1,-15,3402,24651.07227,1,1,5811,7.246052988,4.242139437
880,386,390,-1,-1,1,369,907.1068115,1,1,524,2.458284042,1.731119869
881,386,393,-1,-1,-15,4363,31340.30664,0,1,5987,7.183201155,5.234726347
882,386,394,-1,-1,1,428,962.132019,1,1,541,2.247972007,1.778432568
883,386,400,-1,-1,-15,500,1048.528198,1,1,665,2.097056396,1.576734133
884,386,401,-1,-1,1,4206,29991.7793,1,1,4879,7.1307131,6.147116068
885,387,388,-1,-1,1,100,141.4213562,1,1,141,1.414213562,1.002988342
886,387,407,-1,-1,-15,2210,21461.12109,1,0,2921,9.710914522,7.347182846
887,388,407,-1,-1,1,2084,21319.70117,1,1,2779,10.2301829,7.671716866
888,390,394,-1,-1,1,100,141.4213562,1,1,141,1.414213562,1.002988342
889,390,400,-1,-1,1,100,141.4213562,1,1,141,1.414213562,1.002988342
890,391,392,-1,-1,-15,1153,2234.924316,1,0,1772,1.938355869,1.261243971
891,391,398,-1,-1,1,77,300,1,1,200,3.896103896,1.5
892,391,400,-1,-1,1,2436,32235.63867,1,1,3621,13.2330208,8.902413331
893,391,405,-1,-1,-15,2105,9932.589844,1,1,7601,4.718569997,1.306747776
894,391,406,-1,-1,-15,2493,9691.168945,1,1,7359,3.887352164,1.31691384
895,391,408,-1,-1,1,116,362.1320496,1,1,241,3.121828013,1.502622612
896,392,398,-1,-1,1,242,762.132019,1,1,441,3.149305864,1.728190519
897,392,408,-1,-1,1,155,362.1320496,1,1,241,2.336335804,1.502622612
898,393,395,-1,-1,1,100,141.4213562,1,1,141,1.414213562,1.002988342
899,393,397,-1,-1,-15,222,503.5534058,1,1,382,2.268258585,1.318202633
900,393,399,-1,-1,-15,505,1107.106812,1,1,865,2.192290716,1.279892268
